musician_screen_name,replies
carliehanson,@carliehanson @yungblud @Zhamakthecat cutiesss 🖤🖤🖤
carliehanson,@carliehanson @yungblud i miss yall!!!
carliehanson,@carliehanson @yungblud @Zhamakthecat stop making me wanna cry 😭
carliehanson,@carliehanson @yungblud @Zhamakthecat look like you guys are staying hydrated
carliehanson,@carliehanson @yungblud @Zhamakthecat my actual faves
carliehanson,@carliehanson @yungblud @Zhamakthecat I miss both of you 😭
carliehanson,@carliehanson @yungblud @Zhamakthecat miss seeing yous together
carliehanson,@carliehanson @yungblud @Zhamakthecat i miss ya both so much PLS!!!! come back soon
carliehanson,@carliehanson @yungblud @Zhamakthecat I miss you too mom 🖤
carliehanson,"@carliehanson @yungblud @Zhamakthecat i miss yous singing anarchist together :,("
jasonderulo,@jasonderulo @onikadegenerous @NICKIMINAJ @davidguetta 🔥
jasonderulo,@jasonderulo @ArZolanski @NICKIMINAJ @davidguetta @NICKIMINAJ 👸👸👸❤️❤️❤️❤️
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🔥🔥
jasonderulo,@jasonderulo @cunt_in_d_east @NICKIMINAJ @davidguetta 🔥 🔥
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta 🚨🚨🚨
jasonderulo,@jasonderulo @KingRayMontanaa @NICKIMINAJ @davidguetta I love 😍😍😍
jasonderulo,@jasonderulo @NICKIMINAJ @davidguetta Imagine if you had kids 😍pls get her pregnant already 🥰🥰
