post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1117865094933647360,carliehanson,Mon Apr 15 18:59:42 +0000 2019,RT @WarnerBrosPromo: @carliehanson 💪💪💪,#,@WarnerBrosPromo@carliehanson@,0,5
1117858177507155970,carliehanson,Mon Apr 15 18:32:12 +0000 2019,this is where everything really starts happening,#,@,171,19
1115671470137585664,Damonalbarn,Tue Apr 09 17:43:01 +0000 2019,"RT @goodbadqueen: Norwich, you're up first, see you on Friday.
Cardiff, Sheffield, Manchester, Liverpool and London, not long now...
Last r…",#,@goodbadqueen@,0,30
1111788779906523136,Damonalbarn,Sat Mar 30 00:34:35 +0000 2019,Rare treat of @blurofficial Clover Over Dover @WFculture19 @africaexpress  @LCGCtweets @rokiatraore https://t.co/fvaFRD86rG,#,@blurofficial@WFculture19@africaexpress@LCGCtweets@rokiatraore@,2132,520
1111676773421465600,Damonalbarn,Fri Mar 29 17:09:31 +0000 2019,"RT @goodbadqueen: 2 WEEKS TO GO!
Get your tickets now: https://t.co/9RMGT8afSC https://t.co/XGlso9H73I",#,@goodbadqueen@,0,21
1111218563606609920,Damonalbarn,Thu Mar 28 10:48:45 +0000 2019,RT @goodbadqueen: Getting ready to hit the road… who’s coming? https://t.co/Evczb02hVG,#,@goodbadqueen@,0,121
1109156205874819073,Damonalbarn,Fri Mar 22 18:13:41 +0000 2019,"RT @goodbadqueen: It's the Paul &amp; Damon Radio Show on @BBC6Music ! 
Sitting in for @IggyPop tonight from 7pm 
📻https://t.co/QYxEWpbSBW http…",#,@goodbadqueen@BBC6Music@IggyPop@,0,115
1109107451490652161,Damonalbarn,Fri Mar 22 14:59:57 +0000 2019,"RT @africaexpress: Africa Express is excited to share ‘MOLO’ out now on all platforms! 

A 4 track EP created in Johannesburg during a week…",#,@africaexpress@,0,65
1109089505104093184,Damonalbarn,Fri Mar 22 13:48:38 +0000 2019,MOLO - the Xhosa word for Hello -  is the name of a new 4 track EP out now on @africaexpress available on all platf… https://t.co/yOseFapBTR,#,@africaexpress@,542,119
1105162470774263808,Damonalbarn,Mon Mar 11 17:44:00 +0000 2019,"RT @goodbadqueen: New performance video for The Truce of Twilight, directed by Paul Simonon, shot on his phone last week in London.
Set you…",#,@goodbadqueen@,0,104
1102611013449535488,Damonalbarn,Mon Mar 04 16:45:25 +0000 2019,"RT @goodbadqueen: Listen to a selection of songs chosen by Damon Albarn - “Road To Kankan” 
Now playing on @Spotify https://t.co/V2p2hJ70yw…",#,@goodbadqueen@Spotify@,0,92
1097470469568110592,Damonalbarn,Mon Feb 18 12:18:44 +0000 2019,"Uganda: Artists should not have to seek government approval to make their art
https://t.co/Ns9XgKj4T6",#,@,1162,222
1075690498319413253,Damonalbarn,Thu Dec 20 09:52:54 +0000 2018,"RT @goodbadqueen: TICKETS ON SALE NOW
🎟 https://t.co/ofi3fZtZXN

Merrie Land is out now: https://t.co/g8L6K8SSZl 

#MerrieLand https://t.co…",#MerrieLand#,@goodbadqueen@,0,36
1074981071433940992,Damonalbarn,Tue Dec 18 10:53:54 +0000 2018,"RT @goodbadqueen: New dates added: Tickets onsale Thursday 20th December at 9am. https://t.co/H3aPxevefB
Merrie Land is out now: https://t.…",#,@goodbadqueen@,0,53
1072079964084862977,Damonalbarn,Mon Dec 10 10:45:56 +0000 2018,"RT @JonathanDean_: “Hopefully, Ed Sheeran’s going to write a post-Brexit opus” 
Had a chat with DAMON ALBARN about the ⁦@ST_Culture⁩ album…",#,@JonathanDean_@ST_Culture@,0,49
1068168492459978752,Damonalbarn,Thu Nov 29 15:43:08 +0000 2018,"RT @goodbadqueen: Who's Good, Who's Bad? Watch @antoinedecaunes @3615popopop chat with  Damon and Paul about Merrie Land here: https://t.co…",#,@goodbadqueen@antoinedecaunes@3615popopop@,0,51
1063142777532399619,Damonalbarn,Thu Nov 15 18:52:45 +0000 2018,"RT @goodbadqueen: ""This tram is for Stargate, Next stop Uncle Tom's Cabin""
The Great Fire, taken from the album 'Merrie Land' out tomorrow.…",#,@goodbadqueen@,0,103
1063059318570913792,Damonalbarn,Thu Nov 15 13:21:06 +0000 2018,"RT @goodbadqueen: ""The sorrows of slate and sugar cane are hers""
Lady Boston, taken from the album 'Merrie Land' out this Friday. 
Pre-orde…",#,@goodbadqueen@,0,84
1062363462364528641,Damonalbarn,Tue Nov 13 15:16:01 +0000 2018,"RT @ST_Culture: Our album of the YEAR: The Good, the Bad &amp; the Queen's Merrie Land .@goodbadqueen
https://t.co/4WXWxhKaQL https://t.co/J1aG…",#,@ST_Culture@goodbadqueen@,0,106
