post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1114187698082799616,CalvinHarris,Fri Apr 05 15:27:02 +0000 2019,"RT @CalvinHarris: I’m Not Alone 2019 is out now!!! 

Remixes from @CamelPhat and @ThomsSchumacher plus my 2019 version &amp; remastered 2009 or…",#,@CalvinHarris@CamelPhat@ThomsSchumacher@,0,411
1114177627332403201,CalvinHarris,Fri Apr 05 14:47:01 +0000 2019,RT @vincey1991: @CalvinHarris my favourite song of all time got remastered 🔥 🔥🔥 https://t.co/96w7XjvGty,#,@vincey1991@CalvinHarris@,0,13
1118922995420917760,celinedion,Thu Apr 18 17:03:25 +0000 2019,Very proud of you @ladygaga // Je suis très fière de toi! #TIME100 ❤️ - Celine xx... https://t.co/ZvcchMEVHn,#TIME100#,@ladygaga@,11505,2569
1118887994948063234,celinedion,Thu Apr 18 14:44:20 +0000 2019,"So excited to be performing at @BSTHydePark!
I’ll be joined by @joshgroban &amp; @_ClaireRichards, you won’t want to mi… https://t.co/esVvHLv7zc",#,@BSTHydePark@joshgroban@_ClaireRichards@,1426,226
1118555461148524544,celinedion,Wed Apr 17 16:42:58 +0000 2019,"My 'Paint' Will Go On, And On!! - Celine xx... https://t.co/C0LMuLNyF0",#,@,3573,528
1118269121437687808,celinedion,Tue Apr 16 21:45:09 +0000 2019,"My heart goes out to the people in Paris, and throughout all of France for the tragedy at Notre-Dame Cathedral // M… https://t.co/E0C4S4ZfO0",#,@,3800,558
1117439130126831616,celinedion,Sun Apr 14 14:47:04 +0000 2019,What a beautiful dance to 'Ashes' by Briar Nolet. Good luck tonight on #WorldofDance ✨// Quelle jolie performance d… https://t.co/zkiYaATxgU,#WorldofDance#,@,2211,351
1117049992709939201,celinedion,Sat Apr 13 13:00:46 +0000 2019,"The daffodil symbolizes strength, courage and life. During @cancersociety‘s annual #DaffodilCampaign, you can show… https://t.co/Uby2B51673",#DaffodilCampaign#,@cancersociety@,700,105
1117049987227996160,celinedion,Sat Apr 13 13:00:45 +0000 2019,"La jonquille symbolise la force, le courage et la vie. Durant la #campagnedelajonquille de la @societeducancer, app… https://t.co/Ebz3ecL7JK",#campagnedelajonquille#,@societeducancer@,1007,152
1116703533808545792,celinedion,Fri Apr 12 14:04:04 +0000 2019,The time has come! Tickets for the first leg of Céline’s #CourageWorldTour are on sale today! // C’est enfin le gra… https://t.co/9taPCptGr9,#CourageWorldTour#,@,1789,343
1116425385544011776,celinedion,Thu Apr 11 19:38:48 +0000 2019,"In case you missed it, here’s Celine’s stunning performance of “Ashes” on @JimmyKimmelLive. Who’s excited for… https://t.co/N81EwmJhz5",#,@JimmyKimmelLive@,1595,280
1115670356079939585,celinedion,Tue Apr 09 17:38:35 +0000 2019,"Come see Céline on her #CourageWorldTour! @AmericanExpress  Card Members, get tix early with the #AmexPresale happe… https://t.co/CGgm0LnSaf",#CourageWorldTour#AmexPresale#,@AmericanExpress@,983,140
1115616743047610368,celinedion,Tue Apr 09 14:05:33 +0000 2019,Outtakes! 🎥 Go to Celine’s YouTube channel to watch the full movie // Scènes coupées ! 🎥 Allez sur la chaîne YouTub… https://t.co/wHz9dqbN2I,#,@,891,155
1115616613741371392,celinedion,Tue Apr 09 14:05:02 +0000 2019,"New shows added! Presales are happening now, all tickets for the first leg go on sale this Friday // Nouveaux spect… https://t.co/6tNvpcrgVy",#,@,1583,229
1115323604122492928,celinedion,Mon Apr 08 18:40:43 +0000 2019,More show dates have just been added to Celine’s #CourageWorldTour! // Nouvelles dates de concert ajoutées! Montréa… https://t.co/4twcuPpLz2,#CourageWorldTour#,@,1585,233
1114922033144401920,celinedion,Sun Apr 07 16:05:01 +0000 2019,It’s UN #WorldHealthDay! Let’s support people affected by Natural Disasters with #CallforCode. You can help… https://t.co/IAmt30KByk,#WorldHealthDay#CallforCode#,@,708,176
1114876293152038912,celinedion,Sun Apr 07 13:03:16 +0000 2019,"Team Celine pre-sale for #CourageWorldTour starts Monday, April 8 at 10am local time! Don’t miss your chance to get… https://t.co/K8W5wzU1uI",#CourageWorldTour#,@,1361,215
1114592805047816197,celinedion,Sat Apr 06 18:16:47 +0000 2019,We lost an incredible artist this week. My sincere condolences to Luigi’s family and friends. // Nous avons perdu u… https://t.co/JLOEM1ISk3,#,@,1078,128
1114501738562641921,celinedion,Sat Apr 06 12:14:55 +0000 2019,"Celine performing ""My Heart Will Go On"" live from Los Angeles during the #CourageWorldTour announcement. Who’s goin… https://t.co/N8W9but7k8",#CourageWorldTour#,@,2612,495
1114380994608369664,celinedion,Sat Apr 06 04:15:07 +0000 2019,Watch Celine on @JimmyKimmelLive – Tonight on @ABCNetwork! // Regardez Céline @JimmyKimmelLive sur @ABCNetwork! – T… https://t.co/nfOTVlk181,#,@JimmyKimmelLive@ABCNetwork@JimmyKimmelLive@ABCNetwork@,1622,224
1114311729649815552,celinedion,Fri Apr 05 23:39:53 +0000 2019,Ready to hit the road! // Prêts à partir en tournée! #CourageWorldTour - Team Céline https://t.co/roehEKBeKB,#CourageWorldTour#,@,648,88
1114311525156544512,celinedion,Fri Apr 05 23:39:05 +0000 2019,We're very excited for #CourageWorldTour! // Nous avons très hâte à la tournée mondiale #Courage - Team Celine https://t.co/ro87rJvJs8,#CourageWorldTour#Courage#,@,1308,209
1114326689868156928,ogchaseb,Sat Apr 06 00:39:20 +0000 2019,God is so good,#,@,1069,418
1113823158631636992,ogchaseb,Thu Apr 04 15:18:29 +0000 2019,RIP Nip can’t say it enough,#,@,1036,249
1113818497900003330,ogchaseb,Thu Apr 04 14:59:58 +0000 2019,. @uadnyc TONIGHT https://t.co/biXPW4O4Fl,#,@uadnyc@,104,17
1112495902508412929,ogchaseb,Sun Mar 31 23:24:26 +0000 2019,Prayers for Nip,#,@,927,242
1110946946594697216,ogchaseb,Wed Mar 27 16:49:27 +0000 2019,Back to the lab,#,@,1134,217
1110941697825857536,ogchaseb,Wed Mar 27 16:28:35 +0000 2019,Thank you God for a successful tour! Love to everybody that got a chance to see the show at least once. ASTRO 🎪,#,@,2136,325
1109148440804708352,ogchaseb,Fri Mar 22 17:42:49 +0000 2019,@doziekanu Bless us young Doz,#,@doziekanu@,3,0
1107291443633242113,ogchaseb,Sun Mar 17 14:43:47 +0000 2019,ST. PATTY’S DAY YESSIR SHOUT-OUT ALL MY IRISH KINFOLK YOU DIG 🍀 LUCKY SHIT,#,@,495,86
1107079862441992193,ogchaseb,Sun Mar 17 00:43:02 +0000 2019,Take a shot every time you hear the word “Williamson” tonight 🥃,#,@,247,31
1106605576723877888,ogchaseb,Fri Mar 15 17:18:23 +0000 2019,RT @DonToliver: Chase B Is Really gone Dummy on these Beats Man. https://t.co/XjU5ZkqaHL,#,@DonToliver@,0,374
1105494384093679616,ogchaseb,Tue Mar 12 15:42:54 +0000 2019,IM BOUT TO SIGN ANOTHER CONTRACT LIKE IM IN THE LEAGUE,#,@,941,70
1105494169773096961,ogchaseb,Tue Mar 12 15:42:03 +0000 2019,God bless this verse I just got,#,@,414,41
1102669261380743168,ogchaseb,Mon Mar 04 20:36:53 +0000 2019,RT @XXL: What do you think of @dontoliver for the 2019 XXL Freshman Class? #XXLFreshmen https://t.co/NG8v4kWfJg,#XXLFreshmen#,@XXL@DonToliver@,0,375
1102309576278528005,ogchaseb,Sun Mar 03 20:47:37 +0000 2019,Slowly but surely removing everything that’s superficial from my life,#,@,947,266
1101270733110603776,ogchaseb,Thu Feb 28 23:59:38 +0000 2019,@DCtoBC @jeromebaker3rd @djtrayze @iamMICK @yellowttech @SpicoliDCtoBC @heartbreakhelly @parisa0126 @surjazz_ @TasteFaker @headlinerhmc,#,@DCtoBC@jeromebaker3rd@djtrayze@iamMICK@yellowttech@SpicoliDCtoBC@heartbreakhelly@parisa0126@surjazz_@TasteFaker@headlinerhmc@,8,1
1101213405585788928,ogchaseb,Thu Feb 28 20:11:50 +0000 2019,330 Ms...,#,@,334,31
1100803226956382208,ogchaseb,Wed Feb 27 17:01:55 +0000 2019,First things first lemme get that introductionnnn,#,@,595,67
1099921498410811393,ogchaseb,Mon Feb 25 06:38:15 +0000 2019,Fred Hammond my favorite gospel singer ever. First concert I ever went to,#,@,144,13
1099825945731571713,ogchaseb,Mon Feb 25 00:18:33 +0000 2019,@GUNNERSELLWHITE No cappppp,#,@GUNNERSELLWHITE@,44,1
1099719119618883584,ogchaseb,Sun Feb 24 17:14:04 +0000 2019,Favorite jays on my birthday. Gotta get like 4 pair https://t.co/Y3sFBkmv5N,#,@,1040,89
1119593537874616320,chloexhalle,Sat Apr 20 13:27:55 +0000 2019,happy birthday to our big sister ski!!! we love you!!! 🦋🦋💕💕4/20 https://t.co/uvEZLuRjho,#,@,8673,590
1119329829705224192,chloexhalle,Fri Apr 19 20:00:02 +0000 2019,haaaay mister postman 💌💌 catch us honoring some of the greatest to ever do it at 8/7c this sunday on @CBS. #motown60 https://t.co/GxnjNF8l8j,#motown60#,@CBS@,2411,506
1118578648993468417,chloexhalle,Wed Apr 17 18:15:06 +0000 2019,lil ole us https://t.co/d5772ykG2u,#,@,5155,410
1118331610087268357,chloexhalle,Wed Apr 17 01:53:28 +0000 2019,✨🌈somewhere over the rainbow https://t.co/ZzZns0wSqQ,#,@,9030,818
1118186190866403334,chloexhalle,Tue Apr 16 16:15:37 +0000 2019,“wolf at your door” out 4/26 🐺🐺 #forthethrone https://t.co/oO1ijywOvB https://t.co/dSKAPsCZcH,#forthethrone#,@,1346,306
1116904998728806401,chloexhalle,Sat Apr 13 03:24:37 +0000 2019,"RT @chloexhalle: our song #beyourself from @littlethemovie is now available everywhere https://t.co/p3M2yW2Zka ❤️❤️

pls go x support this…",#beyourself#,@chloexhalle@littlethemovie@,0,1358
1116784579837345793,chloexhalle,Fri Apr 12 19:26:07 +0000 2019,"our song #beyourself from @littlethemovie is now available everywhere https://t.co/p3M2yW2Zka ❤️❤️

pls go x suppor… https://t.co/m0RB5H8FWv",#beyourself#,@littlethemovie@,4962,1358
1116740780721344513,chloexhalle,Fri Apr 12 16:32:04 +0000 2019,queens like nefertiti https://t.co/KAx7rcWlRI,#,@,26948,4418
1116528856666726400,chloexhalle,Fri Apr 12 02:29:58 +0000 2019,RT @amakadsi: @chloexhalle 💜💜💜 @DVF awards https://t.co/5q9xz6vKeA,#,@amakadsi@chloexhalle@DVF@,0,61
1116527925032046593,chloexhalle,Fri Apr 12 02:26:16 +0000 2019,wow wow wow. https://t.co/yJ3e2hRGpK,#,@,3115,317
1116422883503476736,chloexhalle,Thu Apr 11 19:28:52 +0000 2019,nipsey’s mother is so powerful ❤️🙏🏽 God bless that family,#,@,4536,589
1116397234545922066,chloexhalle,Thu Apr 11 17:46:57 +0000 2019,"RT @MTVAwards: Celebrating #NationalSiblingsDay with this iconic sister duo @chloexhalle! 

Remember when they performed at the #MTVAwards…",#NationalSiblingsDay#MTVAwards#,@MTVAwards@chloexhalle@,0,159
1116147064877068288,chloexhalle,Thu Apr 11 01:12:51 +0000 2019,"RT @chloexhalle: surprise! here’s our new song “be yourself” from the @littlethemovie soundtrack, hitting theaters this weekend along with…",#,@chloexhalle@littlethemovie@,0,497
1116104602619928577,chloexhalle,Wed Apr 10 22:24:08 +0000 2019,👼🏽👼🏽happy national siblings day 👼🏽 👼🏽 hold the ones you love so close today 💫 https://t.co/gUJ0lyy9QC,#,@,5814,476
