music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
2341515047,hannahmiller118,122,44,Sun Apr 21 03:33:58 +0000 2019,"RT @Trashvis: we need new music from:
• Frank Ocean
• Lil Uzi Vert
• Kanye West
• Playboi Carti
• Travis Scott
• PARTYNEXTDOOR
• Kid Cudi
•…",#,@Trashvis@,0,3529
852260994126454785,almighty_ingy,533,1174,Sun Apr 21 03:33:41 +0000 2019,"RT @Trashvis: we need new music from:
• Frank Ocean
• Lil Uzi Vert
• Kanye West
• Playboi Carti
• Travis Scott
• PARTYNEXTDOOR
• Kid Cudi
•…",#,@Trashvis@,0,3529
1004820100321554432,AuntiesMcm,28,40,Sun Apr 21 03:33:25 +0000 2019,"RT @kalvin_cortez: We need new music from: 
-Frank Ocean 
-Kendrick Lamar 
-ASAP rocky 
-Tyler The Creator 
-The Weekend 
-Childish Gambino…",#,@kalvin_cortez@,0,10020
919911598956994562,ahmadbala360,183,254,Sun Apr 21 03:33:19 +0000 2019,RT @alfasbello: Looks like Kanye west https://t.co/VZ1XQe7J1I,#,@alfasbello@,0,2
3306643380,auraellice,1000,1314,Sun Apr 21 03:33:15 +0000 2019,"RT @Trashvis: we need new music from:
• Frank Ocean
• Lil Uzi Vert
• Kanye West
• Playboi Carti
• Travis Scott
• PARTYNEXTDOOR
• Kid Cudi
•…",#,@Trashvis@,0,3529
180613938,davinwavy,222,216,Sun Apr 21 03:32:21 +0000 2019,RT @fbglola: Man Pusha t really top 3,#,@fbglola@,0,16
1056374053865447424,RappCulture,23,6,Sun Apr 21 03:32:15 +0000 2019,"Freddie Gibbs confirms Pusha T, Mos Def, Killer Mike, Black Thought, and Anderson .Paak will all feature on his upc… https://t.co/VWOMSKxZun",#,@,0,0
1087621493515739137,Ianuaria_hope,340,644,Sun Apr 21 03:33:50 +0000 2019,RT @LivePdFans: A big #LivePDNation thank you to @danabrams @TomMorrisJr1 @Sean_C_Larkin for all the hard work &amp; sacrifices you make to giv…,#LivePDNation#,@LivePdFans@danabrams@TomMorrisJr1@Sean_C_Larkin@,0,8
121842934,NYGfan4ever,1521,2915,Sun Apr 21 03:33:17 +0000 2019,RT @LivePdFans: A big #LivePDNation thank you to @danabrams @TomMorrisJr1 @Sean_C_Larkin for all the hard work &amp; sacrifices you make to giv…,#LivePDNation#,@LivePdFans@danabrams@TomMorrisJr1@Sean_C_Larkin@,0,8
896927833162960896,_Blaze_Dragon_,127,210,Sun Apr 21 02:42:54 +0000 2019,@owo_chris I like the way you think,#,@owo_chris@,0,0
1097615312013443073,owo_chris,5,36,Sun Apr 21 02:24:01 +0000 2019,@_Blaze_Dragon_ I like the way you think,#,@_Blaze_Dragon_@,0,0
896927833162960896,_Blaze_Dragon_,127,210,Sun Apr 21 02:21:25 +0000 2019,@owo_chris https://t.co/odgQXq7i7s,#,@owo_chris@,1,0
