music_lover_id,music_lover_name,music_lover_followers_count,music_lover_friends_count,post_created_at,post_text,post_hashtags,post_mentions,post_favorite_count,post_retweet_count
1517307847,ibrunotattaglia,17,143,Fri Apr 19 19:22:55 +0000 2019,@Mr_Bugman Camine la ciudad escuchando New York State of mind de Billy Joel. No volverá a ser el mismo.,#,@Mr_Bugman@,0,0
52752027,philatticus,3604,1709,Fri Apr 19 19:31:54 +0000 2019,"Eddie Vedder mostly sounds like a seal barking cheap Bob Dylan lyrics, though",#,@,2,0
39823245,SpecialRider,1496,1339,Fri Apr 19 19:31:48 +0000 2019,Bob Dylan's Heaven's Door Whiskey Is Opening a Nashville Distillery and Concert Venue https://t.co/NCJKIqIW8D,#,@,0,0
4641768923,sweeneycolin28,124,138,Fri Apr 19 19:30:43 +0000 2019,"RT @garyfoskett: ""A tale of creativity, survival &amp; invention . . .
With enormous influence on successive generations of musicians like Bob…",#,@garyfoskett@,0,9
303827284,Inclinepress,2454,1209,Fri Apr 19 19:29:40 +0000 2019,"RT @garyfoskett: ""A tale of creativity, survival &amp; invention . . .
With enormous influence on successive generations of musicians like Bob…",#,@garyfoskett@,0,9
1118558715441971200,NikolaiIrina,0,16,Fri Apr 19 19:28:50 +0000 2019,"@SkyTG24 Bob  Dylan  vuole  cantare  senza che  i  Fan   scattano dei  foto  ...
Dobbiamo  cantare  o  metterci in… https://t.co/Vh0gEEhl6r",#,@SkyTG24@,0,0
776138682491367424,Guiimeendees_,42,158,Fri Apr 19 19:32:07 +0000 2019,RT @dante_mayhem: Para cuando Bring me the Horizon ft Rosalía?,#,@dante_mayhem@,0,1
4867849455,MaluLAthayde,133,551,Fri Apr 19 19:31:06 +0000 2019,"RT @My_life_isbts: #FelizDiaDoIndie

Se vc gosta de ↓ 

Melanie Martinez
Twenty Øne Piløts
Billie Eillish
Bring Me The Horizon
The Neighbou…",#FelizDiaDoIndie#,@My_life_isbts@,0,7
1599425910,Pam9081,153,451,Fri Apr 19 19:30:48 +0000 2019,RT @danielvillasrc: Ya quiero que te aprendas las de Bring Me The Horizon para poderlas cantar contigo,#,@danielvillasrc@,0,1
3449416161,Seba2499,699,682,Fri Apr 19 19:30:24 +0000 2019,"Aquí te va una canción para ti… Can You Feel My Heart de Bring Me The Horizon
https://t.co/0bP6rWKHG2",#,@,0,0
523300456,King_OfAnything,98,193,Fri Apr 19 19:30:22 +0000 2019,"True Friends by Bring Me The Horizon 🖤
https://t.co/oDeTTWN3vT",#,@,0,0
4641768923,sweeneycolin28,124,138,Fri Apr 19 19:30:43 +0000 2019,"RT @garyfoskett: ""A tale of creativity, survival &amp; invention . . .
With enormous influence on successive generations of musicians like Bob…",#,@garyfoskett@,0,9
170936265,piercecp,647,580,Fri Apr 19 19:30:42 +0000 2019,@Local12Jed Bruce Springsteen is a good songwriter.,#,@Local12Jed@,0,0
3107730888,Comishav1990,73,558,Fri Apr 19 19:30:37 +0000 2019,Always amazed at just how terrible a singer Bruce Springsteen is. Like basura. Still I enjoyed the dubstep era so each gen has it's trash.,#,@,0,0
303827284,Inclinepress,2454,1209,Fri Apr 19 19:29:40 +0000 2019,"RT @garyfoskett: ""A tale of creativity, survival &amp; invention . . .
With enormous influence on successive generations of musicians like Bob…",#,@garyfoskett@,0,9
1085539761769668610,Alison90067981,31,124,Fri Apr 19 19:28:38 +0000 2019,"RT @garyfoskett: ""A tale of creativity, survival &amp; invention . . .
With enormous influence on successive generations of musicians like Bob…",#,@garyfoskett@,0,9
1060923163570249730,allo_dee,28,57,Fri Apr 19 19:24:07 +0000 2019,Now playing Normani X Calvin Harris - Checklist (Audio) ft. WizKid.mp3 by !,#,@,1,0
312001015,stregggyyyy,377,498,Fri Apr 19 19:31:07 +0000 2019,RT @Chris_Hanna: The thing is ... Céline Dion is beyond parody. https://t.co/CHeelxf8Nv,#,@Chris_Hanna@,0,498
1031064780709056512,Bot86Nano,16,0,Fri Apr 19 19:30:36 +0000 2019,"BREAKING NEWS! Ryan Gosling and Celine Dion have been spotted kissing in LA. When confronted by Perez Hilton, they… https://t.co/f3hCfXFRKU",#,@,0,0
3410585181,Iontrustnohoe,7,2,Fri Apr 19 19:21:19 +0000 2019,how some u support n follow bullshit but not encourage n support the ONLY MFS who really b there for yall.. ppl b w… https://t.co/GuVy9feo4q,#,@,0,0
87193720,ameero1,1353,252,Fri Apr 19 19:32:12 +0000 2019,"Fantom $ftm, one Kucoin coin I look to accumulate, is looking interesting once more.

Looks to be forming a tweezer… https://t.co/qXuGV0lE3k",#,@,0,0
2970378245,tall_walton,229,546,Fri Apr 19 19:32:07 +0000 2019,"RT @Rhythmtrader: The Director of PayPal recently said that bitcoin has a 50% chance of success, which would mean bitcoin reaches over $1 m…",#,@Rhythmtrader@,0,47
67737360,lsteed08,839,2659,Fri Apr 19 19:32:07 +0000 2019,@lincoln_trojans @LHSTrojanNation @AlisonPosey14 @bigbendpreps @BigBendBall Good luck. We lost our coin flip and we… https://t.co/nvVqss4Aeg,#,@lincoln_trojans@LHSTrojanNation@AlisonPosey14@bigbendpreps@BigBendBall@,0,0
777780171445243904,diimskk,1371,297,Fri Apr 19 19:32:04 +0000 2019,@HaroldPogba que je rigolais dans mon coin ptn c un fou tous ça pour la grail,#,@HaroldPogba@,0,0
